DATE,START_DATE,START_TIME,END_DATE,END_TIME,OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY
10-07-2025,10-07-2025,04:00:00,11-07-2025,03:59:00,0.00,0.00,0.00,0.00,00:45:00,0,0,0
09-07-2025,09-07-2025,04:00:00,10-07-2025,03:59:00,110.54,100.00,133.54,82.78,04:08:00,641,641,0
08-07-2025,08-07-2025,04:00:00,09-07-2025,03:59:00,84.50,100.00,115.42,73.21,06:26:00,554,554,0
07-07-2025,07-07-2025,04:00:00,08-07-2025,03:59:00,25.05,100.00,57.71,43.40,13:35:00,277,277,0
06-07-2025,06-07-2025,04:00:00,07-07-2025,03:59:00,0.00,0.00,0.00,0.00,00:00:00,0,0,0
05-07-2025,05-07-2025,04:00:00,06-07-2025,03:59:00,0.00,0.00,0.00,0.00,00:00:00,0,0,0
04-07-2025,04-07-2025,04:00:00,05-07-2025,03:59:00,0.00,0.00,0.00,0.00,23:56:00,0,0,0
03-07-2025,03-07-2025,04:00:00,04-07-2025,03:59:00,18.73,100.00,52.50,35.67,15:25:00,252,252,0
02-07-2025,02-07-2025,04:00:00,03-07-2025,03:59:00,89.51,100.00,125.42,71.37,06:52:00,602,602,0
01-07-2025,01-07-2025,04:00:00,02-07-2025,03:59:00,24.70,100.00,61.04,40.46,14:15:00,293,293,0
30-06-2025,30-06-2025,04:00:00,01-07-2025,03:59:00,39.42,100.00,73.96,53.31,11:11:00,355,355,0
29-06-2025,29-06-2025,04:00:00,30-06-2025,03:59:00,0.00,0.00,0.00,0.00,00:00:00,0,0,0
28-06-2025,28-06-2025,04:00:00,29-06-2025,03:59:00,0.11,100.00,3.33,3.33,23:12:00,16,16,0
27-06-2025,27-06-2025,04:00:00,28-06-2025,03:59:00,70.57,100.00,104.58,67.48,07:49:00,502,502,0
26-06-2025,26-06-2025,04:00:00,27-06-2025,03:59:00,74.46,100.00,106.88,69.67,07:17:00,513,513,0
25-06-2025,25-06-2025,04:00:00,26-06-2025,03:59:00,52.24,100.00,85.42,61.15,09:19:00,410,410,0
24-06-2025,24-06-2025,04:00:00,25-06-2025,03:59:00,50.84,100.00,75.42,67.41,07:50:00,362,362,0
23-06-2025,23-06-2025,04:00:00,24-06-2025,03:59:00,97.61,100.00,119.38,81.77,04:36:00,573,573,0
,,,,,,,,,,,,
