Production Line: GCS
Frequency: hourly
Start Date: 2025-06-23T07:00
End Date: 2025-07-09T23:59

START_DATE,START_TIME,END_DATE,END_TIME,OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY
"2025-07-09","11:00 PM","2025-07-09","11:59 PM","90.22","100.00","96.67","93.33","00:04",29,29,0
"2025-07-09","10:00 PM","2025-07-09","10:59 PM","80.89","100.00","93.33","86.67","00:08",28,28,0
"2025-07-09","09:00 PM","2025-07-09","09:59 PM","110.00","100.00","110.00","100.00","00:00",33,33,0
"2025-07-09","08:00 PM","2025-07-09","08:59 PM","113.33","100.00","113.33","100.00","00:00",34,34,0
"2025-07-09","07:00 PM","2025-07-09","07:59 PM","113.33","100.00","113.33","100.00","00:00",34,34,0
"2025-07-09","06:00 PM","2025-07-09","06:59 PM","113.33","100.00","113.33","100.00","00:00",34,34,0
"2025-07-09","05:00 PM","2025-07-09","05:59 PM","113.33","100.00","113.33","100.00","00:00",34,34,0
"2025-07-09","04:00 PM","2025-07-09","04:59 PM","103.33","100.00","103.33","100.00","00:00",31,31,0
"2025-07-09","03:00 PM","2025-07-09","03:59 PM","82.50","100.00","90.00","91.67","00:05",27,27,0
"2025-07-09","02:00 PM","2025-07-09","02:59 PM","98.17","100.00","103.33","95.00","00:03",31,31,0
"2025-07-09","01:00 PM","2025-07-09","01:59 PM","110.00","100.00","110.00","100.00","00:00",33,33,0
"2025-07-09","12:00 PM","2025-07-09","12:59 PM","98.33","100.00","100.00","98.33","00:01",30,30,0
"2025-07-09","11:00 AM","2025-07-09","11:59 AM","103.33","100.00","103.33","100.00","00:00",31,31,0
"2025-07-09","10:00 AM","2025-07-09","10:59 AM","98.33","100.00","100.00","98.33","00:01",30,30,0
"2025-07-09","09:00 AM","2025-07-09","09:59 AM","90.22","100.00","96.67","93.33","00:04",29,29,0
"2025-07-09","08:00 AM","2025-07-09","08:59 AM","103.33","100.00","103.33","100.00","00:00",31,31,0
"2025-07-09","07:00 AM","2025-07-09","07:59 AM","113.33","100.00","113.33","100.00","00:00",34,34,0
"2025-07-09","06:00 AM","2025-07-09","06:59 AM","103.33","100.00","103.33","100.00","00:00",31,31,0
"2025-07-09","05:00 AM","2025-07-09","05:59 AM","63.56","100.00","86.67","73.33","00:16",26,26,0
"2025-07-09","04:00 AM","2025-07-09","04:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","03:00 AM","2025-07-09","03:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","02:00 AM","2025-07-09","02:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
