DATE TIME,START_DATE,START_TIME,END_DATE,END_TIME,SHIFT,DURATION (HH:MM),OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY,RUN_TIME,Run Hours ,Cycle Time
09-07-2025 15:30,09-07-2025,15:30:00,09-07-2025,23:59:00,B,08:30:00,108.75,100.00,112.50,96.67,00:17:00,270,270,0,08:13:00,8.22,1.83
09-07-2025 07:00,09-07-2025,07:00:00,09-07-2025,15:29:00,A,08:30:00,107.65,100.00,109.58,98.24,00:09:00,263,263,0,08:21:00,8.35,1.90
08-07-2025 15:30,08-07-2025,15:30:00,08-07-2025,23:59:00,B,08:30:00,93.80,100.00,103.75,90.41,00:49:00,249,249,0,07:41:00,7.68,1.85
08-07-2025 07:00,08-07-2025,07:00:00,08-07-2025,15:29:00,A,08:30:00,82.16,100.00,94.58,86.86,01:07:00,227,227,0,07:23:00,7.38,1.95
07-07-2025 15:30,07-07-2025,15:30:00,07-07-2025,23:59:00,B,08:30:00,2.69,100.00,14.58,18.43,06:56:00,35,35,0,01:34:00,1.57,2.69
07-07-2025 07:00,07-07-2025,07:00:00,07-07-2025,15:29:00,A,08:30:00,61.13,100.00,78.33,78.04,01:52:00,188,188,0,06:38:00,6.63,2.12
06-07-2025 15:30,06-07-2025,15:30:00,06-07-2025,23:59:00,B,08:30:00,0.00,0.00,0.00,0.00,08:30:00,0,0,0,00:00:00,0.00,0.00
06-07-2025 07:00,06-07-2025,07:00:00,06-07-2025,15:29:00,A,08:30:00,0.00,0.00,0.00,0.00,08:30:00,0,0,0,00:00:00,0.00,0.00
05-07-2025 15:30,05-07-2025,15:30:00,05-07-2025,23:59:00,B,08:30:00,0.00,0.00,0.00,0.00,08:30:00,0,0,0,00:00:00,0.00,0.00
05-07-2025 07:00,05-07-2025,07:00:00,05-07-2025,15:29:00,A,08:30:00,0.00,0.00,0.00,0.00,08:30:00,0,0,0,00:00:00,0.00,0.00
04-07-2025 15:30,04-07-2025,15:30:00,04-07-2025,23:59:00,B,08:30:00,0.00,0.00,0.00,0.00,08:29:00,0,0,0,00:01:00,0.02,0.00
04-07-2025 07:00,04-07-2025,07:00:00,04-07-2025,15:29:00,A,08:30:00,0.00,0.00,0.00,0.00,08:27:00,0,0,0,00:03:00,0.05,0.00
03-07-2025 15:30,03-07-2025,15:30:00,03-07-2025,23:59:00,B,08:30:00,34.46,100.00,62.08,55.51,03:46:00,149,149,0,04:44:00,4.73,1.91
