DATE,START_DATE,START_TIME,END_DATE,END_TIME,OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY
10-07-2025,10-07-2025,04:00:00,11-07-2025,03:59:00,0.00,0.00,0.00,0.00,00:39:00,0,0,0
09-07-2025,09-07-2025,04:00:00,10-07-2025,03:59:00,20.36,100.00,50.71,40.14,14:22:00,213,213,0
08-07-2025,08-07-2025,04:00:00,09-07-2025,03:59:00,17.95,100.00,41.19,43.58,13:33:00,173,173,0
07-07-2025,07-07-2025,04:00:00,08-07-2025,03:59:00,2.52,100.00,14.29,17.64,19:46:00,60,60,0
06-07-2025,06-07-2025,04:00:00,07-07-2025,03:59:00,0.00,0.00,0.00,0.00,23:59:00,0,0,0
05-07-2025,05-07-2025,04:00:00,06-07-2025,03:59:00,0.00,0.00,0.00,0.00,23:59:00,0,0,0
04-07-2025,04-07-2025,04:00:00,05-07-2025,03:59:00,0.00,0.00,0.00,0.00,23:56:00,0,0,0
03-07-2025,03-07-2025,04:00:00,04-07-2025,03:59:00,1.76,100.00,9.05,19.40,19:19:00,38,38,0
02-07-2025,02-07-2025,04:00:00,03-07-2025,03:59:00,8.56,100.00,24.05,35.58,15:27:00,101,101,0
01-07-2025,01-07-2025,04:00:00,02-07-2025,03:59:00,20.46,100.00,43.33,47.21,12:38:00,182,182,0
30-06-2025,30-06-2025,04:00:00,01-07-2025,03:59:00,22.21,100.00,48.81,45.51,13:03:00,205,205,0
29-06-2025,29-06-2025,04:00:00,30-06-2025,03:59:00,0.00,0.00,0.00,0.00,00:00:00,0,0,0
28-06-2025,28-06-2025,04:00:00,29-06-2025,03:59:00,0.31,100.00,5.00,6.11,22:32:00,21,21,0
27-06-2025,27-06-2025,04:00:00,28-06-2025,03:59:00,31.63,100.00,58.81,53.78,11:06:00,247,247,0
26-06-2025,26-06-2025,04:00:00,27-06-2025,03:59:00,30.55,100.00,59.29,51.53,11:38:00,249,249,0
25-06-2025,25-06-2025,04:00:00,26-06-2025,03:59:00,29.79,100.00,58.10,51.29,11:41:00,244,244,0
24-06-2025,24-06-2025,04:00:00,25-06-2025,03:59:00,11.97,100.00,36.67,32.64,13:58:00,154,154,0
23-06-2025,23-06-2025,04:00:00,24-06-2025,03:59:00,0.00,0.00,0.00,0.00,00:00:00,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
