Production Line: GRA
Frequency: hourly
Start Date: 2025-06-23T07:00
End Date: 2025-07-09T23:59

START_DATE,START_TIME,END_DATE,END_TIME,OEE,QUALITY,PERFORMANCE,AVAILABILITY,DOWNTIME (HH:MM),PRODUCT_COUNT,OK_QUANTITY,REJECTED_QUANTITY
"2025-07-09","11:00 PM","2025-07-09","11:59 PM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","10:00 PM","2025-07-09","10:59 PM","4.32","100.00","15.24","28.33","00:43",4,4,0
"2025-07-09","09:00 PM","2025-07-09","09:59 PM","67.30","100.00","76.19","88.33","00:07",20,20,0
"2025-07-09","08:00 PM","2025-07-09","08:59 PM","25.14","100.00","45.71","55.00","00:27",12,12,0
"2025-07-09","07:00 PM","2025-07-09","07:59 PM","44.44","100.00","76.19","58.33","00:25",20,20,0
"2025-07-09","06:00 PM","2025-07-09","06:59 PM","58.41","100.00","76.19","76.67","00:14",20,20,0
"2025-07-09","05:00 PM","2025-07-09","05:59 PM","22.86","100.00","45.71","50.00","00:30",12,12,0
"2025-07-09","04:00 PM","2025-07-09","04:59 PM","25.90","100.00","45.71","56.67","00:26",12,12,0
"2025-07-09","03:00 PM","2025-07-09","03:59 PM","33.02","100.00","49.52","66.67","00:20",13,13,0
"2025-07-09","02:00 PM","2025-07-09","02:59 PM","65.33","100.00","80.00","81.67","00:11",21,21,0
"2025-07-09","01:00 PM","2025-07-09","01:59 PM","79.24","100.00","91.43","86.67","00:08",24,24,0
"2025-07-09","12:00 PM","2025-07-09","12:59 PM","41.02","100.00","64.76","63.33","00:22",17,17,0
"2025-07-09","11:00 AM","2025-07-09","11:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","10:00 AM","2025-07-09","10:59 AM","15.75","100.00","30.48","51.67","00:29",8,8,0
"2025-07-09","09:00 AM","2025-07-09","09:59 AM","2.86","100.00","11.43","25.00","00:45",3,3,0
"2025-07-09","08:00 AM","2025-07-09","08:59 AM","4.57","100.00","15.24","30.00","00:42",4,4,0
"2025-07-09","07:00 AM","2025-07-09","07:59 AM","27.94","100.00","41.90","66.67","00:20",11,11,0
"2025-07-09","06:00 AM","2025-07-09","06:59 AM","23.49","100.00","38.10","61.67","00:23",10,10,0
"2025-07-09","05:00 AM","2025-07-09","05:59 AM","1.27","100.00","7.62","16.67","00:50",2,2,0
"2025-07-09","04:00 AM","2025-07-09","04:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","03:00 AM","2025-07-09","03:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","02:00 AM","2025-07-09","02:59 AM","0.00","0.00","0.00","0.00","01:00",0,0,0
"2025-07-09","01:00 AM","2025-07-09","01:59 AM","2.67","100.00","11.43","23.33","00:46",3,3,0
"2025-07-09","12:00 AM","2025-07-09","12:59 AM","10.29","100.00","22.86","45.00","00:33",6,6,0
"2025-07-08","11:00 PM","2025-07-08","11:59 PM","71.11","100.00","76.19","93.33","00:04",20,20,0
"2025-07-08","10:00 PM","2025-07-08","10:59 PM","47.62","100.00","57.14","83.33","00:10",15,15,0
"2025-07-08","09:00 PM","2025-07-08","09:59 PM","63.94","100.00","72.38","88.33","00:07",19,19,0
"2025-07-08","08:00 PM","2025-07-08","08:59 PM","28.89","100.00","49.52","58.33","00:25",13,13,0
"2025-07-08","07:00 PM","2025-07-08","07:59 PM","4.83","100.00","15.24","31.67","00:41",4,4,0
"2025-07-08","06:00 PM","2025-07-08","06:59 PM","28.19","100.00","45.71","61.67","00:23",12,12,0
